cod,total_reads,mepf_reads_aligned,pct_pf_reads_aligned
AY_4_delta_EPI_ISL_7826496_S1_L001,99000,99000,1.0
XBB_omicron_EPI_ISL_15742981_S1_L001,99000,99000,1.0
BA_5_omicron_EPI_ISL_15195179_S1_L001,99500,99500,1.0
P_1_gamma_EPI_ISL_1197001_S1_L001,99500,99500,1.0
B_1_1_7_alpha_EPI_ISL_1210625_S1_L001,99500,99500,1.0
B_1_243_EPI_ISL_11330895_S1_L001,99500,99500,1.0
B_1_EPI_ISL_15579518_S1_L001,99500,99500,1.0
P_1_gamma_EPI_ISL_1287630_S1_L001,99500,99500,1.0
B_1_EPI_ISL_15465135_S1_L001,99500,99500,1.0
B_1_EPI_ISL_15742981_S1_L001,99000,99000,1.0
B_1_243_EPI_ISL_11190240_S1_L001,99500,99500,1.0
AY_39_1_delta_EPI_ISL_7825961_S1_L001,99000,99000,1.0
P_1_gamma_EPI_ISL_1287638_S1_L001,99500,99500,1.0
XBB_omicron_EPI_ISL_15742978_S1_L001,99000,99000,1.0
B_1_1_7_alpha_EPI_ISL_1210626_S1_L001,99500,99500,1.0
BA_2_omicron_EPI_ISL_11521406_S1_L001,99500,99500,1.0
XBB_omicron_EPI_ISL_15579518_S1_L001,99500,99500,1.0
B_1_640_1_EPI_ISL_6370559_S1_L001,99000,99000,1.0
BA_2_omicron_EPI_ISL_17009988_S1_L001,99500,99500,1.0
B_1_1_7_alpha_EPI_ISL_1210624_S1_L001,99500,99500,1.0
P_1_gamma_EPI_ISL_1196991_S1_L001,99500,99500,1.0
BA_2_omicron_EPI_ISL_9176026_S1_L001,99500,99500,1.0
B_1_1_7_alpha_EPI_ISL_1144409_S1_L001,99500,99500,1.0
BA_5_omicron_EPI_ISL_15195176_S1_L001,99500,99500,1.0
BA_2_omicron_EPI_ISL_10746154_S1_L001,99500,99500,1.0
BA_5_omicron_EPI_ISL_15195192_S1_L001,99500,99500,1.0
BA_5_omicron_EPI_ISL_13883841_S1_L001,99500,99500,1.0
AY_4_delta_EPI_ISL_7826485_S1_L001,99000,99000,1.0
XBB_omicron_EPI_ISL_15465135_S1_L001,99500,99500,1.0
B_1_EPI_ISL_15742978_S1_L001,99000,99000,1.0
B_1_640_1_EPI_ISL_6316495_S1_L001,99500,99500,1.0
AY_39_1_delta_EPI_ISL_7825964_S1_L001,99000,99000,1.0
