cod,mean_depth_coverage,sd_depth_coverage,median_depth_coverage,taxon,lineage,scorpio_call
AY_4_delta_EPI_ISL_7826496_S1_L001,308.687322,39.765734,317,AY_4_delta_EPI_ISL_7826496_S1_L001,AY.4,Delta (AY.4-like)
XBB_omicron_EPI_ISL_15742981_S1_L001,308.544862,40.146427,317,XBB_omicron_EPI_ISL_15742981_S1_L001,XBB,Omicron (BA.2-like)
BA_5_omicron_EPI_ISL_15195179_S1_L001,310.103836,36.394123,317,BA_5_omicron_EPI_ISL_15195179_S1_L001,BA.5.2,Omicron (Unassigned)
P_1_gamma_EPI_ISL_1197001_S1_L001,310.15888,34.815836,319,P_1_gamma_EPI_ISL_1197001_S1_L001,P.1.1,Gamma (P.1-like)
B_1_1_7_alpha_EPI_ISL_1210625_S1_L001,310.145838,35.857998,316,B_1_1_7_alpha_EPI_ISL_1210625_S1_L001,B.1.1.7,Alpha (B.1.1.7-like)
B_1_243_EPI_ISL_11330895_S1_L001,310.370531,35.597116,316,B_1_243_EPI_ISL_11330895_S1_L001,B.1.243,
B_1_EPI_ISL_15579518_S1_L001,310.255927,36.784758,318,B_1_EPI_ISL_15579518_S1_L001,XBB,Omicron (Unassigned)
P_1_gamma_EPI_ISL_1287630_S1_L001,310.08026,35.557467,317,P_1_gamma_EPI_ISL_1287630_S1_L001,P.1.1,Gamma (P.1-like)
B_1_EPI_ISL_15465135_S1_L001,310.122229,35.379282,318,B_1_EPI_ISL_15465135_S1_L001,XBB,Omicron (BA.2-like)
B_1_EPI_ISL_15742981_S1_L001,308.619537,39.525849,317,B_1_EPI_ISL_15742981_S1_L001,XBB,Omicron (BA.2-like)
B_1_243_EPI_ISL_11190240_S1_L001,310.175066,35.08536,318,B_1_243_EPI_ISL_11190240_S1_L001,B.1.243,
AY_39_1_delta_EPI_ISL_7825961_S1_L001,308.747149,40.591303,317,AY_39_1_delta_EPI_ISL_7825961_S1_L001,AY.39.1,Delta (B.1.617.2-like)
P_1_gamma_EPI_ISL_1287638_S1_L001,310.186837,35.843596,317,P_1_gamma_EPI_ISL_1287638_S1_L001,P.1.1,Gamma (P.1-like)
XBB_omicron_EPI_ISL_15742978_S1_L001,308.699395,39.153486,316,XBB_omicron_EPI_ISL_15742978_S1_L001,XBB,Omicron (BA.2-like)
B_1_1_7_alpha_EPI_ISL_1210626_S1_L001,310.07521,36.242816,318,B_1_1_7_alpha_EPI_ISL_1210626_S1_L001,B.1.1.7,Alpha (B.1.1.7-like)
BA_2_omicron_EPI_ISL_11521406_S1_L001,310.227302,35.424848,317,BA_2_omicron_EPI_ISL_11521406_S1_L001,BA.2,Omicron (BA.2-like)
XBB_omicron_EPI_ISL_15579518_S1_L001,310.12778,36.531906,317,XBB_omicron_EPI_ISL_15579518_S1_L001,XBB,Omicron (Unassigned)
B_1_640_1_EPI_ISL_6370559_S1_L001,308.645989,39.148511,317,B_1_640_1_EPI_ISL_6370559_S1_L001,B.1.640.1,
BA_2_omicron_EPI_ISL_17009988_S1_L001,310.178811,34.905692,318,BA_2_omicron_EPI_ISL_17009988_S1_L001,BA.2.38,Omicron (BA.2-like)
B_1_1_7_alpha_EPI_ISL_1210624_S1_L001,310.275892,35.816398,317,B_1_1_7_alpha_EPI_ISL_1210624_S1_L001,B.1.1.7,Alpha (B.1.1.7-like)
P_1_gamma_EPI_ISL_1196991_S1_L001,310.183961,34.861348,318,P_1_gamma_EPI_ISL_1196991_S1_L001,P.1.1,Gamma (P.1-like)
BA_2_omicron_EPI_ISL_9176026_S1_L001,310.147343,35.863398,317,BA_2_omicron_EPI_ISL_9176026_S1_L001,BA.2.10,Omicron (BA.2-like)
B_1_1_7_alpha_EPI_ISL_1144409_S1_L001,310.043608,36.175052,316,B_1_1_7_alpha_EPI_ISL_1144409_S1_L001,B.1.1.7,Alpha (B.1.1.7-like)
BA_5_omicron_EPI_ISL_15195176_S1_L001,310.212019,35.115947,317,BA_5_omicron_EPI_ISL_15195176_S1_L001,BA.5.2,Omicron (Unassigned)
BA_2_omicron_EPI_ISL_10746154_S1_L001,310.153028,35.043457,317,BA_2_omicron_EPI_ISL_10746154_S1_L001,BA.2.10,Omicron (BA.2-like)
BA_5_omicron_EPI_ISL_15195192_S1_L001,310.123834,36.408514,317,BA_5_omicron_EPI_ISL_15195192_S1_L001,BA.5.2,Omicron (Unassigned)
BA_5_omicron_EPI_ISL_13883841_S1_L001,310.071464,36.673458,317,BA_5_omicron_EPI_ISL_13883841_S1_L001,BA.5.2,Omicron (Unassigned)
AY_4_delta_EPI_ISL_7826485_S1_L001,308.753202,40.098282,317,AY_4_delta_EPI_ISL_7826485_S1_L001,AY.4,Delta (AY.4-like)
XBB_omicron_EPI_ISL_15465135_S1_L001,310.149952,35.902418,317,XBB_omicron_EPI_ISL_15465135_S1_L001,XBB,Omicron (BA.2-like)
B_1_EPI_ISL_15742978_S1_L001,308.662776,38.469309,316,B_1_EPI_ISL_15742978_S1_L001,XBB,Omicron (BA.2-like)
B_1_640_1_EPI_ISL_6316495_S1_L001,310.282447,37.074086,317,B_1_640_1_EPI_ISL_6316495_S1_L001,B.1.640.1,
AY_39_1_delta_EPI_ISL_7825964_S1_L001,308.664783,42.090682,317,AY_39_1_delta_EPI_ISL_7825964_S1_L001,AY.39.1,Delta (B.1.617.2-like)
